title,filepath,neg_caption,neg_image
The yellow bowl is to the right of the pink bowl.,images/step154.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[5719]
The yellow bowl is to the right of the small pot.,images/step445.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1891]
The small pot is to the right of the green cup.,images/step806.camera_0.png,['The green cup is to the right of the small pot.'],[4107]
The green cup is to the right of the small pot.,images/step482.camera_0.png,['The small pot is to the right of the green cup.'],[2795]
The small pot is to the left of the pink bowl.,images/step458.camera_0.png,['The pink bowl is to the left of the small pot.'],[3590]
The small pot is to the left of the pink bowl.,images/step735.camera_0.png,['The pink bowl is to the left of the small pot.'],[4973]
The small pot is to the right of the yellow bowl.,images/step141.camera_0.png,['The yellow bowl is to the right of the small pot.'],[3371]
The yellow bowl is in front of the pink bowl.,images/step424.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[6963]
The yellow bowl is to the right of the small pot.,images/step644.camera_0.png,['The small pot is to the right of the yellow bowl.'],[2495]
The pink bowl is to the right of the green cup.,images/step326.camera_0.png,['The green cup is to the right of the pink bowl.'],[3286]
The green cup is to the left of the yellow bowl.,images/step182.camera_0.png,['The yellow bowl is to the left of the green cup.'],[240]
The pink bowl is to the left of the green cup.,images/step28.camera_0.png,['The green cup is to the left of the pink bowl.'],[5554]
The yellow bowl is to the right of the small pot.,images/step460.camera_0.png,['The small pot is to the right of the yellow bowl.'],[464]
The pink bowl is in front of the yellow bowl.,images/step797.camera_0.png,['The yellow bowl is in front of the pink bowl.'],[5633]
The green cup is to the left of the pink bowl.,images/step385.camera_0.png,['The pink bowl is to the left of the green cup.'],[1179]
The small pot is to the right of the pink bowl.,images/step622.camera_0.png,['The pink bowl is to the right of the small pot.'],[3225]
The yellow bowl is to the right of the green cup.,images/step427.camera_0.png,['The green cup is to the right of the yellow bowl.'],[4940]
The small pot is to the left of the pink bowl.,images/step610.camera_0.png,['The pink bowl is to the left of the small pot.'],[433]
The yellow bowl is to the right of the small pot.,images/step751.camera_0.png,['The small pot is to the right of the yellow bowl.'],[6963]
The green cup is to the left of the small pot.,images/step446.camera_0.png,['The small pot is to the left of the green cup.'],[5312]
The yellow bowl is to the left of the pink bowl.,images/step778.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[4793]
The small pot is to the left of the green cup.,images/step257.camera_0.png,['The green cup is to the left of the small pot.'],[7414]
The yellow bowl is to the left of the green cup.,images/step2.camera_0.png,['The green cup is to the left of the yellow bowl.'],[31]
The pink bowl is to the right of the yellow bowl.,images/step64.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[5965]
The pink bowl is to the left of the yellow bowl.,images/step403.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[6053]
The green cup is to the right of the yellow bowl.,images/step764.camera_0.png,['The yellow bowl is to the right of the green cup.'],[3484]
The yellow bowl is to the right of the pink bowl.,images/step545.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[5525]
The green cup is to the right of the pink bowl.,images/step799.camera_0.png,['The pink bowl is to the right of the green cup.'],[3567]
